season,week,date,firstDownDiff,netPassYdsDiff,totalYdsDiff,turnoverDiff,totalPlaysDiff,rushAttDiff,rushYdsDiff,rushTDDiff,passCompDiff,passAttDiff,passYdsDiff,passTDDiff,passIntDiff,timesSackedDiff,sackYdsLostDiff,fumDiff,fumLostDiff,numPenDiff,penYdsDiff,thirdConvDiff,thirdAttDiff,thirdPercDiff,fourthConvDiff,fourthAttDiff,fourthPercDiff,topDiff,eloDiff,winner
2002,7,2002-10-20,0,63,5,-3,-9,-9,-58,3,10,5,32,0,0,-5,-31,-4,-3,0,-34,-1,-2,-0.06666666666666671,0,0,0,-1.9600000000000009,165.76099999999997,Home
2002,15,2002-12-15,-1,-46,-21,2,-3,-9,25,1,1,4,-32,-2,2,2,14,4,0,7,43,3,2,0.2916666666666667,0,-1,NA,-2.539999999999999,-175.92100000000005,Away
2002,6,2002-10-13,-7,-33,-65,-1,-11,-4,-32,-1,-6,-9,-31,0,0,2,2,-2,-1,-2,-53,0,-3,0.2142857142857143,1,2,NA,-6.739999999999998,-133.52099999999996,Away
2002,9,2002-11-03,-3,-77,-122,2,-3,-10,-45,0,-4,5,-64,-4,2,2,13,0,0,-1,-40,-1,2,-0.3714285714285715,0,0,NA,-2.740000000000002,-0.9329999999999927,Away
2002,1,2002-09-08,2,11,-57,-1,6,11,-68,-1,-3,-8,14,2,0,3,3,-2,-1,2,-37,0,1,-0.013888888888888895,0,0,NA,7.840000000000003,-125.97299999999996,Home
2002,3,2002-09-22,-6,-173,-135,0,-2,3,38,0,-9,-6,-173,-2,1,1,0,-1,-1,5,22,-2,0,-0.2857142857142857,0,0,NA,-2.3599999999999994,-171.596,Away
2002,11,2002-11-17,2,-5,-49,1,4,0,-44,1,7,5,4,-1,0,-1,9,1,1,-2,-22,0,2,-0.08333333333333334,0,1,-0.5,2.259999999999998,-251.88400000000001,Away
2002,12,2002-11-24,-7,-112,-157,-2,-6,9,-45,0,-8,-18,-111,-1,-2,3,1,0,0,-1,3,0,2,-0.031746031746031744,0,-1,NA,4.439999999999998,-276.6299999999999,Home
2002,17,2002-12-29,1,59,-53,1,6,-13,-112,-1,13,18,66,0,1,1,7,1,0,1,1,4,3,0.35714285714285715,0,-1,NA,3.6400000000000006,-327.875,Away
2002,6,2002-10-13,4,118,73,-2,7,-7,-45,-2,15,12,121,1,0,2,3,-6,-2,4,18,-1,-1,-0.10714285714285715,-1,-1,NA,2.039999999999999,-38.471000000000004,Home
2002,5,2002-10-06,-4,-13,-99,-3,-9,1,-86,0,-10,-9,-20,1,-2,-1,-7,-3,-1,-1,8,4,3,0.5,-2,-3,NA,-1.5,183.31999999999994,Home
2002,11,2002-11-17,9,158,184,-1,26,16,26,0,18,15,121,2,1,-5,-37,-1,-2,3,5,1,1,0.10714285714285715,1,1,NA,20.099999999999998,127.10500000000002,Home
2002,13,2002-12-01,3,90,113,-1,-1,12,23,1,-5,-7,53,1,0,-6,-37,0,-1,-5,-17,0,0,0,0,-1,NA,4.260000000000002,303.79200000000014,Home
2002,17,2002-12-29,-2,34,6,0,-5,-4,-28,0,7,2,11,1,0,-3,-23,0,0,0,-12,-2,-1,-0.4,1,0,1,1.0399999999999991,60.830999999999904,Home
2002,2,2002-09-15,12,110,90,2,23,-3,-20,-1,13,27,102,-1,2,-1,-8,-2,0,-6,-33,-2,-1,-0.4166666666666667,1,2,NA,2.4399999999999977,-42.21399999999994,Away
2002,16,2002-12-22,-4,-17,-70,-1,2,-17,-53,-2,7,17,-1,-1,2,2,16,-3,-3,2,26,-2,1,-0.3333333333333333,1,1,0.5,-5.200000000000003,41.113000000000056,Away
2002,9,2002-11-03,12,221,180,3,21,-12,-41,0,23,31,245,1,1,2,24,4,2,1,3,-3,-1,-0.5,2,4,NA,-3.3599999999999994,10.97700000000009,Away
2002,14,2002-12-08,-8,-190,-206,-2,-23,-2,-16,0,-11,-21,-191,-1,-2,0,-1,1,0,-5,-17,-2,-4,-0.125,0,0,NA,-9.86,0.7470000000000709,Away
2002,8,2002-10-27,6,3,48,-1,18,1,45,0,5,16,18,0,0,1,15,-2,-1,-4,-10,2,2,0.19047619047619047,0,1,NA,7.299999999999997,235.27099999999996,Away
2002,1,2002-09-08,1,22,36,0,9,4,14,1,3,5,17,-1,1,0,-5,1,-1,3,26,0,2,-0.20833333333333337,3,3,NA,5.099999999999998,-7.248000000000047,Away
2002,4,2002-09-29,2,-107,38,-4,-6,18,145,4,-11,-24,-108,0,-2,0,-1,-4,-2,-1,-10,1,-1,0.2142857142857143,0,-3,NA,6.859999999999999,-1.2580000000000382,Home
2002,5,2002-10-06,-12,-10,-139,0,-32,-3,-129,0,-15,-25,-33,-1,0,-4,-23,0,0,-6,-54,-4,-3,-0.5714285714285714,-2,-3,0.25,-9.939999999999998,-126.41799999999989,Home
2002,13,2002-12-01,-10,-60,-177,-1,-22,-19,-117,0,-5,-4,-55,2,-1,1,5,0,0,-4,-25,1,1,0.1333333333333333,0,0,0,-17.36,-113.94000000000005,Away
2002,16,2002-12-22,-7,16,-84,1,-4,-22,-100,-2,4,14,34,0,1,4,18,0,0,4,21,-4,-3,-0.5714285714285714,2,3,NA,-11.299999999999997,-109.71699999999987,Away
2002,10,2002-11-10,-5,-72,2,-3,-5,16,74,2,-8,-22,-62,-1,-3,1,10,0,0,2,6,2,1,0.23809523809523808,-1,-3,NA,7.439999999999998,-54.69600000000014,Home
2002,13,2002-12-01,17,165,355,-3,1,23,190,3,0,-18,133,3,-4,-4,-32,0,1,-2,1,-4,-7,-0.16666666666666669,0,-2,NA,7.159999999999997,111.58300000000008,Home
2002,11,2002-11-17,1,-19,-24,-1,-6,11,-5,2,-12,-16,-28,-1,-1,-1,-9,0,0,-8,-100,-4,-6,-0.5,2,2,NA,-3.3599999999999994,46.516999999999825,Home
2002,7,2002-10-20,2,-223,-202,-1,-10,4,21,2,-10,-17,-204,-2,0,3,19,-2,-1,-3,-25,3,2,0.33333333333333337,-2,-3,NA,0.3099999999999987,-49.5920000000001,Away
2002,2,2002-09-15,-1,-124,-114,1,-4,-1,10,-1,-9,-4,-121,-1,2,1,3,-1,-1,0,3,1,-1,0.1964285714285714,-1,-1,NA,-3.460000000000001,14.701000000000022,Away
